EvenementID;GebruikerID;Aanwezigheidsstatus
E003;G131;Afwezig
E016;G127;Afwezig
E034;G309;Afwezig
E020;G297;Bijgewoond
E022;G083;Afwezig
E032;G007;Bijgewoond
E026;G060;Afwezig
E011;G048;Afwezig
E002;G197;Bijgewoond
E023;G204;Afwezig
E023;G301;Bijgewoond
E023;G042;Bijgewoond
E020;G266;Afwezig
E016;G097;Geregistreerd
E033;G217;Bijgewoond
E018;G085;Bijgewoond
E004;G219;Bijgewoond
E017;G130;Bijgewoond
E025;G155;Bijgewoond
E002;G257;Geregistreerd
E036;G273;Bijgewoond
E018;G196;Afwezig
E015;G301;Bijgewoond
E010;G158;Geregistreerd
E022;G211;Afwezig
E026;G046;Afwezig
E009;G056;Geregistreerd
E006;G294;Afwezig
E025;G177;Bijgewoond
E034;G074;Bijgewoond
E040;G138;Bijgewoond
E015;G108;Geregistreerd
E027;G204;Afwezig
E016;G158;Afwezig
E037;G004;Geregistreerd
E010;G087;Afwezig
E028;G252;Bijgewoond
E020;G001;Afwezig
E039;G050;Bijgewoond
E022;G036;Geregistreerd
E029;G214;Geregistreerd
E035;G269;Afwezig
E009;G214;Afwezig
E014;G148;Bijgewoond
E009;G221;Bijgewoond
E038;G088;Bijgewoond
E035;G091;Bijgewoond
E013;G192;Bijgewoond
E009;G096;Afwezig
E020;G069;Bijgewoond
E034;G102;Geregistreerd
E009;G250;Geregistreerd
E028;G094;Afwezig
E010;G258;Afwezig
E037;G057;Geregistreerd
E011;G231;Afwezig
E021;G291;Bijgewoond
E005;G109;Afwezig
E036;G096;Bijgewoond
E035;G103;Bijgewoond
E008;G031;Geregistreerd
E012;G094;Bijgewoond
E021;G099;Afwezig
E010;G133;Afwezig
E002;G210;Bijgewoond
E021;G226;Geregistreerd
E027;G320;Bijgewoond
E027;G056;Afwezig
E020;G086;Geregistreerd
E029;G041;Bijgewoond
E018;G151;Afwezig
E010;G044;Geregistreerd
E013;G194;Geregistreerd
E007;G064;Bijgewoond
E009;G142;Geregistreerd
E012;G033;Geregistreerd
E002;G176;Geregistreerd
E040;G016;Afwezig
E040;G300;Bijgewoond
E018;G121;Geregistreerd
E039;G245;Geregistreerd
E037;G249;Afwezig
E040;G052;Bijgewoond
E015;G005;Afwezig
E039;G032;Bijgewoond
E015;G137;Bijgewoond
E015;G004;Geregistreerd
E002;G299;Bijgewoond
E023;G022;Afwezig
E006;G050;Bijgewoond
E031;G109;Bijgewoond
E009;G268;Bijgewoond
E033;G004;Afwezig
E039;G193;Geregistreerd
E031;G309;Afwezig
E024;G267;Afwezig
E012;G137;Afwezig
E025;G249;Afwezig
E032;G243;Bijgewoond
E031;G173;Afwezig
E009;G310;Afwezig
E011;G220;Afwezig
E013;G173;Bijgewoond
E015;G190;Geregistreerd
E003;G176;Bijgewoond
E027;G162;Bijgewoond
E001;G123;Bijgewoond
E018;G185;Bijgewoond
E027;G205;Bijgewoond
E015;G194;Geregistreerd
E013;G313;Geregistreerd
E014;G030;Bijgewoond
E005;G183;Bijgewoond
E012;G170;Geregistreerd
E029;G052;Afwezig
E040;G002;Bijgewoond
E032;G234;Bijgewoond
E021;G206;Afwezig
E030;G072;Geregistreerd
E016;G014;Afwezig
E028;G309;Geregistreerd
E026;G063;Bijgewoond
E003;G272;Afwezig
E039;G144;Afwezig
E025;G128;Bijgewoond
E021;G189;Bijgewoond
E026;G232;Bijgewoond
E040;G317;Geregistreerd
E037;G244;Afwezig
E039;G264;Geregistreerd
E035;G212;Afwezig
E034;G097;Geregistreerd
E003;G002;Geregistreerd
E034;G165;Afwezig
E007;G009;Afwezig
E029;G185;Afwezig
E030;G024;Geregistreerd
E003;G167;Afwezig
E016;G228;Afwezig
E034;G120;Afwezig
E035;G311;Bijgewoond
E026;G249;Geregistreerd
E003;G205;Bijgewoond
E036;G314;Afwezig
E025;G042;Geregistreerd
E034;G179;Geregistreerd
E004;G220;Afwezig
E013;G244;Afwezig
E019;G052;Bijgewoond
E029;G198;Afwezig
E026;G151;Geregistreerd
E020;G311;Bijgewoond
E019;G100;Geregistreerd
E030;G074;Afwezig
E011;G267;Afwezig
E028;G293;Afwezig
E019;G259;Bijgewoond
E040;G017;Afwezig
E004;G066;Afwezig
E034;G255;Geregistreerd
E010;G045;Geregistreerd
E030;G155;Bijgewoond
E029;G281;Bijgewoond
E006;G240;Afwezig
E033;G087;Geregistreerd
E008;G229;Geregistreerd
E012;G060;Bijgewoond
E038;G247;Afwezig
E035;G277;Geregistreerd
E009;G124;Bijgewoond
E026;G125;Geregistreerd
E027;G109;Bijgewoond
E021;G088;Geregistreerd
E029;G046;Geregistreerd
E002;G055;Geregistreerd
E012;G223;Afwezig
E030;G015;Bijgewoond
E038;G083;Bijgewoond
E013;G168;Geregistreerd
E030;G197;Afwezig
E006;G144;Afwezig
E017;G113;Bijgewoond
E021;G132;Geregistreerd
E011;G244;Geregistreerd
E008;G064;Bijgewoond
E006;G070;Afwezig
E008;G274;Afwezig
E029;G252;Geregistreerd
E024;G047;Afwezig
E006;G171;Bijgewoond
E034;G115;Geregistreerd
E025;G295;Geregistreerd
E033;G308;Bijgewoond
E040;G034;Afwezig
E011;G176;Geregistreerd
E025;G194;Geregistreerd
E036;G196;Afwezig
E025;G288;Geregistreerd
E003;G224;Afwezig
E011;G120;Afwezig
E022;G115;Bijgewoond
E037;G133;Afwezig
E010;G060;Bijgewoond
E011;G149;Bijgewoond
E010;G045;Geregistreerd
E012;G058;Bijgewoond
E004;G046;Bijgewoond
E027;G175;Afwezig
E020;G304;Afwezig
E020;G097;Geregistreerd
E029;G060;Afwezig
E019;G294;Afwezig
E012;G189;Afwezig
E008;G066;Afwezig
E009;G161;Afwezig
E013;G195;Geregistreerd
E001;G296;Bijgewoond
E040;G001;Bijgewoond
E017;G160;Afwezig
E001;G032;Geregistreerd
E030;G303;Bijgewoond
E032;G275;Bijgewoond
E032;G098;Afwezig
E035;G199;Geregistreerd
E001;G217;Bijgewoond
E039;G164;Bijgewoond
E032;G187;Afwezig
E016;G065;Afwezig
E014;G267;Afwezig
E038;G309;Afwezig
E031;G303;Bijgewoond
E030;G114;Bijgewoond
E027;G055;Geregistreerd
E029;G203;Geregistreerd
E006;G005;Geregistreerd
E039;G276;Bijgewoond
E039;G236;Afwezig
E001;G162;Geregistreerd
E016;G075;Afwezig
E036;G152;Geregistreerd
E018;G113;Bijgewoond
E040;G256;Bijgewoond
E036;G234;Afwezig
E014;G076;Bijgewoond
E004;G308;Geregistreerd
E012;G146;Geregistreerd
E010;G075;Bijgewoond
E004;G018;Geregistreerd
E023;G307;Bijgewoond
E003;G164;Geregistreerd
E010;G159;Bijgewoond
E003;G258;Afwezig
E037;G064;Afwezig
E039;G141;Geregistreerd
E020;G294;Bijgewoond
E022;G245;Afwezig
E006;G111;Bijgewoond
E004;G254;Geregistreerd
E007;G150;Bijgewoond
E027;G193;Bijgewoond
E012;G031;Bijgewoond
E011;G171;Afwezig
E019;G079;Bijgewoond
E040;G108;Bijgewoond
E039;G116;Bijgewoond
E037;G027;Afwezig
E036;G092;Bijgewoond
E012;G250;Afwezig
E030;G201;Bijgewoond
E038;G154;Afwezig
E024;G082;Geregistreerd
E003;G012;Geregistreerd
E006;G281;Geregistreerd
E020;G201;Afwezig
E021;G173;Bijgewoond
E024;G217;Geregistreerd
E025;G243;Geregistreerd
E005;G179;Bijgewoond
E028;G201;Afwezig
E036;G201;Bijgewoond
E005;G037;Afwezig
E019;G271;Bijgewoond
E031;G145;Bijgewoond
E009;G145;Afwezig
E008;G100;Geregistreerd
E018;G281;Afwezig
E022;G202;Afwezig
E034;G050;Bijgewoond
E027;G068;Bijgewoond
E034;G166;Afwezig
E014;G298;Bijgewoond
E014;G028;Afwezig
E040;G156;Bijgewoond
E004;G235;Geregistreerd
E007;G084;Afwezig
E037;G296;Afwezig
E034;G071;Geregistreerd
E006;G227;Geregistreerd
E031;G248;Afwezig
E039;G150;Bijgewoond
E019;G075;Bijgewoond
E028;G108;Bijgewoond
E039;G112;Afwezig
E021;G101;Geregistreerd
E017;G005;Geregistreerd
E034;G186;Geregistreerd
E037;G295;Afwezig
E040;G053;Bijgewoond
E023;G076;Geregistreerd
E009;G193;Afwezig
E040;G219;Geregistreerd
E037;G087;Bijgewoond
E032;G029;Bijgewoond
E034;G050;Afwezig
E032;G183;Afwezig
E032;G243;Afwezig
E012;G092;Afwezig
E040;G027;Bijgewoond
E015;G061;Bijgewoond
E019;G264;Afwezig
E013;G174;Geregistreerd
E001;G304;Bijgewoond
E008;G223;Afwezig
E002;G077;Geregistreerd
E030;G207;Afwezig
E008;G126;Afwezig
E014;G018;Bijgewoond
E040;G061;Afwezig
E027;G124;Bijgewoond
E027;G204;Bijgewoond
E003;G251;Bijgewoond
E022;G155;Afwezig
E023;G306;Geregistreerd
E036;G089;Afwezig
E014;G193;Bijgewoond
E001;G046;Geregistreerd
E013;G238;Bijgewoond
E019;G196;Bijgewoond
E017;G141;Geregistreerd
E005;G228;Afwezig
E020;G189;Geregistreerd
E020;G006;Bijgewoond
E033;G062;Geregistreerd
E036;G060;Bijgewoond
E021;G043;Geregistreerd
E001;G063;Geregistreerd
E008;G251;Geregistreerd
E022;G261;Bijgewoond
E022;G116;Afwezig
E026;G012;Afwezig
E037;G301;Geregistreerd
E040;G294;Afwezig
E002;G294;Geregistreerd
E012;G246;Bijgewoond
E013;G141;Bijgewoond
E022;G049;Bijgewoond
E022;G304;Afwezig
E031;G093;Afwezig
E031;G197;Geregistreerd
E003;G248;Afwezig
E009;G223;Afwezig
E031;G153;Geregistreerd
E010;G293;Afwezig
E030;G065;Geregistreerd
E035;G051;Bijgewoond
E022;G167;Afwezig
E030;G033;Geregistreerd
E027;G276;Bijgewoond
E004;G095;Afwezig
E034;G208;Geregistreerd
E020;G011;Bijgewoond
E037;G202;Afwezig
E021;G285;Geregistreerd
E036;G275;Bijgewoond
E035;G272;Afwezig
E002;G251;Afwezig
E014;G033;Afwezig
E037;G266;Afwezig
E022;G300;Geregistreerd
E023;G276;Geregistreerd
E005;G064;Bijgewoond
E010;G107;Afwezig
E018;G061;Afwezig
E002;G093;Geregistreerd
E022;G307;Geregistreerd
E025;G093;Bijgewoond
E035;G003;Afwezig
E011;G285;Geregistreerd
E037;G229;Afwezig
E039;G161;Afwezig
E025;G063;Geregistreerd
E012;G021;Geregistreerd
E039;G066;Afwezig
E008;G295;Afwezig
E020;G106;Bijgewoond
E021;G083;Geregistreerd
E003;G045;Geregistreerd
E018;G288;Afwezig
E027;G132;Bijgewoond
E006;G018;Afwezig
E032;G044;Bijgewoond
E016;G064;Geregistreerd
E024;G260;Afwezig
E029;G153;Geregistreerd
E020;G187;Afwezig
E014;G279;Geregistreerd
E034;G088;Geregistreerd
E020;G217;Afwezig
E012;G001;Bijgewoond
E008;G128;Geregistreerd
E024;G154;Geregistreerd
E003;G024;Geregistreerd
E013;G266;Geregistreerd
E006;G151;Afwezig
E029;G274;Afwezig
E033;G228;Bijgewoond
E002;G072;Bijgewoond
E031;G296;Geregistreerd
E033;G252;Afwezig
E010;G161;Geregistreerd
E013;G268;Bijgewoond
E022;G181;Afwezig
E031;G311;Geregistreerd
E034;G276;Geregistreerd
E020;G262;Bijgewoond
E021;G108;Geregistreerd
E010;G051;Bijgewoond
E007;G023;Geregistreerd
E034;G122;Bijgewoond
E009;G019;Geregistreerd
E014;G097;Geregistreerd
E003;G073;Afwezig
E030;G154;Afwezig
E025;G111;Geregistreerd
E034;G069;Afwezig
E008;G309;Bijgewoond
E001;G283;Bijgewoond
E020;G111;Afwezig
E003;G303;Geregistreerd
E039;G184;Afwezig
E006;G143;Bijgewoond
E022;G066;Geregistreerd
E030;G319;Afwezig
E003;G217;Bijgewoond
E007;G039;Afwezig
E034;G282;Geregistreerd
E020;G131;Afwezig
E002;G134;Afwezig
E037;G196;Afwezig
E020;G084;Bijgewoond
E014;G205;Geregistreerd
E021;G234;Bijgewoond
E013;G043;Bijgewoond
E013;G131;Afwezig
E019;G218;Bijgewoond
E018;G074;Bijgewoond
E035;G275;Afwezig
E021;G105;Geregistreerd
E029;G037;Bijgewoond
E008;G138;Afwezig
E018;G099;Bijgewoond
E010;G191;Afwezig
E011;G289;Bijgewoond
E018;G262;Afwezig
E008;G310;Bijgewoond
E001;G084;Bijgewoond
E040;G215;Afwezig
E036;G079;Geregistreerd
E033;G162;Bijgewoond
E007;G223;Bijgewoond
E014;G195;Afwezig
E035;G014;Afwezig
E023;G310;Afwezig
E036;G127;Bijgewoond
E021;G040;Afwezig
E018;G139;Bijgewoond
E010;G064;Geregistreerd
E019;G273;Geregistreerd
E037;G057;Bijgewoond
E016;G281;Geregistreerd
E011;G209;Bijgewoond
E005;G034;Afwezig
E020;G169;Bijgewoond
E040;G046;Bijgewoond
E022;G186;Geregistreerd
E035;G171;Geregistreerd
E029;G140;Geregistreerd
E004;G075;Bijgewoond
E009;G116;Afwezig
E002;G141;Bijgewoond
E031;G006;Geregistreerd
E004;G051;Bijgewoond
E007;G194;Bijgewoond
E025;G114;Afwezig
E004;G194;Afwezig
E006;G054;Afwezig
E028;G064;Geregistreerd
E026;G090;Geregistreerd
E012;G270;Geregistreerd
E039;G157;Geregistreerd
E038;G302;Geregistreerd
E029;G251;Bijgewoond
E040;G049;Afwezig
E023;G271;Bijgewoond
E020;G179;Bijgewoond
E022;G293;Afwezig
E013;G145;Bijgewoond
E035;G283;Geregistreerd
E006;G139;Afwezig
E030;G312;Bijgewoond
E037;G051;Afwezig
E009;G025;Geregistreerd
E006;G088;Afwezig
E030;G163;Afwezig
E007;G200;Geregistreerd
E030;G093;Bijgewoond
E020;G177;Geregistreerd
E030;G273;Geregistreerd
E031;G283;Bijgewoond
E015;G305;Geregistreerd
E015;G207;Geregistreerd
E010;G245;Afwezig
E040;G304;Afwezig
E017;G066;Geregistreerd
E024;G133;Bijgewoond
E026;G005;Afwezig
E012;G263;Bijgewoond
E022;G080;Afwezig
E021;G065;Afwezig
E030;G074;Bijgewoond
E032;G194;Afwezig
E002;G291;Bijgewoond
E005;G137;Geregistreerd
E031;G028;Bijgewoond
E008;G190;Bijgewoond
E023;G128;Bijgewoond
E031;G312;Bijgewoond
E030;G215;Geregistreerd
E011;G235;Bijgewoond
E019;G094;Bijgewoond
E023;G225;Afwezig
E039;G182;Bijgewoond
E037;G240;Afwezig
E009;G258;Bijgewoond
E033;G147;Bijgewoond
E007;G142;Bijgewoond
E026;G220;Bijgewoond
E007;G267;Afwezig
E021;G118;Bijgewoond
E036;G157;Bijgewoond
E005;G045;Geregistreerd
E020;G157;Bijgewoond
E035;G209;Geregistreerd
E030;G161;Bijgewoond
E026;G047;Bijgewoond
E038;G041;Afwezig
E027;G040;Geregistreerd
E016;G123;Bijgewoond
E040;G048;Bijgewoond
E016;G085;Geregistreerd
E036;G295;Afwezig
E011;G030;Geregistreerd
E031;G044;Geregistreerd
E025;G147;Afwezig
E005;G284;Afwezig
E022;G253;Bijgewoond
E014;G006;Bijgewoond
E038;G218;Bijgewoond
E028;G261;Geregistreerd
E028;G070;Bijgewoond
E037;G246;Bijgewoond
E022;G255;Bijgewoond
E035;G264;Bijgewoond
E016;G273;Afwezig
E012;G064;Afwezig
E005;G208;Afwezig
E037;G008;Geregistreerd
E032;G316;Geregistreerd
E008;G098;Afwezig
E038;G004;Afwezig
E039;G218;Bijgewoond
E030;G274;Bijgewoond
E021;G177;Geregistreerd
E036;G126;Geregistreerd
E007;G271;Geregistreerd
E029;G312;Geregistreerd
E012;G022;Bijgewoond
E020;G311;Afwezig
E026;G230;Bijgewoond
E005;G087;Afwezig
E039;G269;Afwezig
E007;G116;Bijgewoond
E039;G090;Geregistreerd
E025;G039;Afwezig
E021;G188;Bijgewoond
E032;G069;Afwezig
E004;G264;Afwezig
E006;G181;Bijgewoond
E014;G027;Geregistreerd
E009;G217;Bijgewoond
E038;G254;Afwezig
E001;G195;Afwezig
E010;G088;Bijgewoond
E010;G192;Geregistreerd
E029;G058;Geregistreerd
E035;G174;Geregistreerd
E019;G128;Afwezig
E025;G277;Bijgewoond
E040;G061;Bijgewoond
E037;G149;Afwezig
E029;G154;Bijgewoond
E013;G248;Bijgewoond
E014;G151;Bijgewoond
E021;G136;Geregistreerd
E020;G110;Bijgewoond
E037;G002;Geregistreerd
E020;G292;Afwezig
E028;G202;Geregistreerd
E023;G112;Bijgewoond
E006;G157;Afwezig
E038;G264;Bijgewoond
E001;G019;Geregistreerd
E040;G238;Geregistreerd
E033;G317;Afwezig
E026;G250;Bijgewoond
E009;G030;Afwezig
E019;G183;Geregistreerd
E004;G004;Afwezig
E024;G316;Geregistreerd
E036;G236;Bijgewoond
E004;G169;Geregistreerd
E001;G153;Bijgewoond
E036;G182;Afwezig
E023;G055;Afwezig
E008;G003;Afwezig
E019;G180;Bijgewoond
E002;G096;Afwezig
E016;G206;Afwezig
E028;G182;Bijgewoond
E038;G005;Afwezig
E026;G052;Geregistreerd
E021;G221;Geregistreerd
E025;G252;Geregistreerd
E026;G102;Afwezig
E025;G044;Afwezig
E028;G271;Afwezig
E035;G264;Bijgewoond
E014;G079;Bijgewoond
E012;G211;Bijgewoond
E031;G064;Afwezig
E009;G250;Geregistreerd
E013;G004;Geregistreerd
E036;G080;Bijgewoond
E025;G129;Bijgewoond
E024;G116;Geregistreerd
E027;G241;Bijgewoond
E010;G203;Bijgewoond
E019;G192;Bijgewoond
E009;G154;Geregistreerd
E009;G187;Afwezig
E001;G220;Afwezig
E005;G094;Bijgewoond
E002;G275;Bijgewoond
E010;G138;Afwezig
E032;G056;Afwezig
E028;G225;Geregistreerd
E009;G225;Geregistreerd
E006;G083;Geregistreerd
E009;G072;Afwezig
E027;G182;Bijgewoond
E030;G223;Bijgewoond
E039;G003;Bijgewoond
E028;G184;Bijgewoond
E040;G102;Geregistreerd
E012;G057;Afwezig
E030;G098;Geregistreerd
E033;G146;Afwezig
E028;G021;Bijgewoond
E036;G069;Geregistreerd
E029;G203;Afwezig
E025;G216;Bijgewoond
E023;G170;Geregistreerd
E015;G017;Afwezig
E012;G083;Bijgewoond
E028;G102;Afwezig
E039;G246;Bijgewoond
E001;G137;Bijgewoond
E037;G061;Afwezig
E032;G216;Bijgewoond
E016;G251;Afwezig
E033;G282;Geregistreerd
E018;G254;Afwezig
E027;G066;Geregistreerd
E035;G167;Afwezig
E037;G205;Geregistreerd
E024;G257;Afwezig
E003;G200;Geregistreerd
E003;G068;Afwezig
E037;G057;Geregistreerd
E031;G056;Afwezig
E024;G011;Geregistreerd
E008;G065;Afwezig
E038;G080;Bijgewoond
E031;G177;Afwezig
E006;G257;Afwezig
E010;G007;Geregistreerd
E034;G122;Geregistreerd
E018;G027;Afwezig
E030;G176;Bijgewoond
E034;G220;Bijgewoond
E006;G306;Bijgewoond
E034;G005;Bijgewoond
E040;G223;Afwezig
E006;G246;Geregistreerd
E016;G149;Afwezig
E031;G145;Bijgewoond
E005;G249;Geregistreerd
E035;G043;Geregistreerd
E038;G220;Afwezig
E020;G127;Afwezig
E040;G317;Bijgewoond
E004;G079;Bijgewoond
E022;G262;Afwezig
E035;G096;Afwezig
E001;G128;Afwezig
E031;G144;Bijgewoond
E030;G059;Geregistreerd
E033;G135;Bijgewoond
E031;G127;Afwezig
E037;G220;Bijgewoond
E022;G102;Geregistreerd
E027;G243;Afwezig
E023;G053;Bijgewoond
E019;G258;Geregistreerd
E019;G313;Geregistreerd
E011;G093;Geregistreerd
E003;G097;Bijgewoond
E039;G303;Bijgewoond
E020;G077;Geregistreerd
E037;G118;Bijgewoond
E017;G062;Geregistreerd
E004;G068;Afwezig
E031;G206;Afwezig
E038;G020;Bijgewoond
E011;G141;Afwezig
E037;G099;Bijgewoond
E004;G075;Afwezig
E019;G219;Afwezig
E040;G010;Geregistreerd
E002;G316;Afwezig
E019;G103;Bijgewoond
E032;G047;Afwezig
E006;G027;Afwezig
E009;G195;Geregistreerd
E033;G209;Geregistreerd
E005;G269;Geregistreerd
E018;G157;Geregistreerd
E017;G119;Bijgewoond
E009;G114;Geregistreerd
E040;G173;Geregistreerd
E018;G219;Geregistreerd
E018;G246;Afwezig
E017;G032;Afwezig
E001;G262;Geregistreerd
E008;G219;Geregistreerd
E039;G027;Afwezig
E012;G156;Bijgewoond
E038;G057;Geregistreerd
E010;G138;Bijgewoond
E029;G187;Bijgewoond
E024;G144;Geregistreerd
E012;G180;Afwezig
E017;G215;Geregistreerd
E016;G127;Geregistreerd
E032;G164;Bijgewoond
E012;G025;Geregistreerd
E034;G094;Bijgewoond
E003;G021;Bijgewoond
E022;G001;Geregistreerd
E006;G027;Geregistreerd
E010;G165;Bijgewoond
E039;G109;Geregistreerd
E010;G147;Geregistreerd
E032;G242;Bijgewoond
E027;G144;Geregistreerd
E025;G311;Bijgewoond
E016;G052;Geregistreerd
E029;G221;Bijgewoond
E011;G095;Afwezig
E014;G130;Afwezig
E037;G252;Geregistreerd
E023;G187;Bijgewoond
E004;G172;Geregistreerd
E017;G156;Bijgewoond
E008;G058;Bijgewoond
E004;G050;Bijgewoond
E011;G007;Geregistreerd
E030;G283;Geregistreerd
E026;G067;Bijgewoond
E031;G170;Afwezig
E020;G185;Geregistreerd
E031;G186;Geregistreerd
